0;The Godfather;1972; Crime, Drama; 9,2; 15;175min;
1;The Shawshank Redemption;1994;Drama; 9,3;15;142min;
2;Schindler's List;1993;Biography, Drama, History;8,9;15;195min;
3;Raging Bull;1980;Biography, Drama, Sport;8,2;15;129min;
4;Casablanca;1942;Drama, Romance, War;8,5;A;102min;
5;Citizen Kane;1941;Drama, Mystery;8,4;PG;119min;
6;Gone With The Wind;1939;Drama, History, Romance;8,2;NONE ;238min;
7;The Wizard Of Oz; 1939;Adventure, Family, Fantasy;8,0;PG;102min;
8;One Flew Over The Cuckoo's Nest; 1975;Drama;8,7;11;133min;
9;Lawrence Of Arabia; 1962;Adventure, Biography, Drama;8,3;NONE ;216min;
10;Vertigo;1958;Mystery, Romance, Thriller; 8,3;PG;128min;
11;Psycho;1960;Horror, Mystery, Thriller;8,5;15;101min;
12;The Godfather part II;1974; Crime, Drama;9;15;202min;
13;On The Waterfront;1954;Crime, Drama, Thriller;8,2;NONE ;108min;
14;Sunset Boulevard;1950;Drama, Film-Noir;8,4;NONE ;110min;
15;Forrest Gump;1994;Drama, Romance;8,8;7;142min;
16;The Sound Of Music;1965;Biography, Drama, Family, Musical;8,0;NONE ;172min;
17;12 Angry Men;1957;Crime, Drama;8,9;NONE ;96min;
18;West Side Story;1961;Crime, Drama;7,6;NONE ;153min;
19;Star Wars;1977;Action, Adventure, Family;8,6;11;135min;
20;2001 A Space Odyssey;1968;Adventure, Sci-fi;8,3;NONE ;149min;
21;ET;1982;Family, Sci-fi; 7,9;15;120min;
22;The Silence Of The Lambs;1991;Crime, Drama, Thriller;8,6;15;118min;
23;Chinatown;1974;Drama, Mystery, Thriller;8,2;15;130min;
24;The Bridge Over The River Kwai; 1957; Adventure, Drama, War;8,2;NONE ;60min;
25;Singin' In The Rain;1952; Comedy, Musical, Romance;8,3;G;103min;
26;It's A Wonderful Life; 1946; Drama, Family, Fantasy; 8,6;PG;130min;
27;Dr. Strangelove Or How I Learned To Stop Worrying And Love The Bomb;1964;Comedy, War; 8,4;15;95min;
28;Some Like It Hot; 1959; Comedy, Romance; 8,2; A;121min;
29;Ben Hur; 1959; Adventure, Drama, History; 8,1;NONE ;212min;
30;Apocalypse Now; 1979; Drama, War; 8,5;R;147min;
31;Amadeus; 1984; Biography, Drama, History; 8,3;11;160min;
32;Lord Of The Rings - The Return Of The King; 2003; Action, Adventure, Drama; 8,9;11;201min;
33;Gladiator; 2000; Action, Adventure, Drama; 8,5;15;155min;
34;Titanic; 1997; Drama, Romance; 7,8;NONE ;45min;
35;From Here To Eternity; 1953; Drama, Romance, War; 7,7;NONE ;118min;
36;Saving Private Ryan; 1998; Drama, War; 8,6;15;169min;
37;Unforgiven; 1992; Drama, Western; 8,2;15;130min;
38;Raiders Of The Lost Ark; 1981; Action, Adventure; 8,5;PG;115min;
39;Rocky; 1976; Drama, Sport; 8,1;NONE ;120min;
40;A Streetcar Named Desire; 1951; Drama; 8,0;PG;122min;
41;A Philadelphia Story; 1940; Comedy, Romance; 8,0;NONE ;175min;
42;To Kill A Mockingbird; 1962; Crime, Drama; 8,3;NONE ;129min;
43;An American In Paris; 1951; Drama, Musical, Romance; 7,2;R;105min;
44;The Best Years Of Our Lives; 1946; Drama, Romance, War; 8,1;A;170min;
45;My Fair Lady; 1964; Drama, Family, Musical; 7,9;G;170min;
46;A Clockwork Orange;1971; Crime, Drama, Sci-fi; 8,3;NONE ;136min;
47;Doctor Zhivago; 1965; Drama, Romance, War; 8,0;PG-13;197min;
48;The Searchers; 1956; Adventure, Drama, Western; 8,0;NONE ;119min;
49;Jaws; 1975; Adventure, Drama, Thriller; 8,0;15;124min;
50;Patton; 1970; Biography, Drama, War; 8,0;NONE ;172min;
51;Butch Cassidy And The Sundance Kid; 1969; Biography, Crime, Drama; 8,1;PG;110min;
52;The Treasure Of The Sierra Madre; 1948; Adventure, Drama, Western; 8,3;NONE ;126min;
53;The Good, The Bad And The Ugly; 1966; Western; 8,9;15;161min;
54;The Apartment; 1960; Comedy, Drama, Romance; 8,3;NONE ;22min;
55;Platoon; 1986; Drama, War; 8,1;NONE ;120min;
56;High Noon; 1952; Action, Drama, Thriller; 8,0;PG;85min;
57;Braveheart; 1995; Biography, Drama, History; 8,4;R;178min;
58;Dances With Wolves; 1990; Adventure, Drama, Western; 8,0;NONE ;181min;
59;Jurassic Park; 1993; Adventure, Sci-fi, Thriller; 8,1;11;127min;
60;The Exorcist; 1973; Horror; 8,0;R;122min;
61;The Pianist; 2002; Biography, Drama, Music; 8,5;11;150min;
62;Goodfellas; 1990; Crime, Drama; 8,7;15;146min;
63;The Deer Hunter; 1978; Drama, War; 8,1;NONE ;183min;
64;All Quiet On The Western Front; 1930; Drama, War; 8,1;NONE ;136min;
65;Bonny And Clyde; 1967; Action, Biography, Crime; 7,9;R;111min;
66;The French Connection; 1971; Action, Crime, Drama; 7,8;15;104min;
67;City Lights; 1931; Comedy, Drama, Romance; 8,5;A;87min;
68;It Happened One Night; 1934; Comedy, Romance; 8,1;NONE ;105min;
69;A Place In The Sun; 1951; Drama, Romance; 7,8;NONE ;122min;
70;Midnight Cowboy; 1969; Drama; 7,9;NONE ;113min;
71;Mr Smith Goes To Washington; 1939; Comedy, Drama; 8,2;NONE ;129min;
72;Rain Man; 1988; Drama; 8,0;A;133min;
73;Annie Hall; 1977; Comedy, Romance; 8,0;NONE ;93min;
74;Fargo; 1996; Crime, Drama, Thriller; 8,1;15;53min;
75;Giant; 1956; Drama, Western; 7,7;NONE ;106min;
76;Shane; 1953; Drama, Western; 7,7;15;118min;
77;Grapes Of Wrath; 1940; Drama, History; 8,1;NONE ;129min;
78;The Green Mile; 1999; Crime, Drama, Fantasy; 8,5;15;189min;
79;Close Encounters; 1977; Drama, Sci-fi; 7,7;NONE ;138min;
80;Nashville; 1975; Comedy, Drama, Music; 7,8;15;43min;
81;Network; 1976; Drama; 8,1;PG-13;120min;
82;The Graduate; 1967; Comedy, Drama, Romance; 8,0;PG;106min;
83;American Graffiti; 1973; Comedy, Drama; 7,5;15;110min;
84;Pulp Fiction; 1994; Crime, Drama; 8,9;15;154min;
85;Terms of Endearment; 1983; Comedy, Drama; 7,4; NONE ;132min;
86;Good Will Hunting; 1997; Drama, Romance; 8,3;R;126min;
87;The African Queen; 1951; Adventure, Drama, Romance; 7,9;PG;105min;
88;Stagecoach; 1939; Adventure, Western; 7,9;NONE ;96min;
89;Mutiny On The Bounty; 1935; Adventure, Biography, Drama; 7,8;NONE ;178min;
90;The Great Dictator; 1940; Comedy, Drama, War; 8,5;7;125min;
91;Double Indemnity; 1944; Crime, Drama, Film-Noir; 8,3;NONE ;107min;
92;The Maltese Falcon; 1941; Film-Noir, Mystery; 8,1;NONE ;100min;
93;Wuthering Heights; 1939; Drama, Romance; 7,7;7;104min;
94;Taxi Driver; 1976; Crime, Drama; 8,3;15;114min;
95;Rear Window; 1954; Mystery, Thriller; 8,5;15;112min;
96;The Third Man; 1949; Film-Noir, Mystery, Thriller; 8,2;11;104min;
97;Rebel Without A Cause; 1955; Drama; 7,8;NONE ;111min;
98;North By Northwest; 1959; Adventure, Mystery, Thriller; 8,3;NONE ;136min;
99;Yankee Doodle Dandy; 1942; Biography, Drama, Musical; 7,7;NONE ;126min;
